Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
9,Exit long,2025-06-20 22:54,L TP1,3370.271,9.34,31447.66792,29.58,0.09,30.48,0.10,-10.44,-0.03,-277.19,-2.77
9,Entry long,2025-06-20 22:48,L,3366.988,9.34,31447.66792,29.58,0.09,30.48,0.10,-10.44,-0.03,-277.19,-2.77
10,Exit long,2025-06-20 23:00,L TP2,3367.09,37.37,125824.3416,2.19,0.00,256.65,0.20,-41.75,-0.03,-274.27,-2.74
10,Entry long,2025-06-20 22:48,L,3366.988,37.37,125824.3416,2.19,0.00,256.65,0.20,-41.75,-0.03,-274.27,-2.74
11,Exit long,2025-06-23 07:12,L TP1,3377.322,9.8,33136.6224,-39.95,-0.12,7.24,0.02,-39.05,-0.12,-314.94,-3.15
11,Entry long,2025-06-23 07:09,L,3381.288,9.8,33136.6224,-39.95,-0.12,7.24,0.02,-39.05,-0.12,-314.94,-3.15
12,Exit long,2025-06-23 07:12,L TP2,3377.322,39.2,132546.4896,-157.09,-0.12,28.95,0.02,-156.19,-0.12,-471.31,-4.71
12,Entry long,2025-06-23 07:09,L,3381.288,39.2,132546.4896,-157.09,-0.12,28.95,0.02,-156.19,-0.12,-471.31,-4.71
13,Exit long,2025-06-23 07:21,L TP1,3383.672,8.55,28899.9234,29.39,0.10,30.29,0.10,-12.47,-0.04,-442.64,-4.43
13,Entry long,2025-06-23 07:15,L,3380.108,8.55,28899.9234,29.39,0.10,30.29,0.10,-12.47,-0.04,-442.64,-4.43
14,Exit long,2025-06-23 07:24,L TP2,3380.254,34.2,115599.6936,3.37,0.00,207.97,0.18,-49.9,-0.04,-438.54,-4.39
14,Entry long,2025-06-23 07:15,L,3380.108,34.2,115599.6936,3.37,0.00,207.97,0.18,-49.9,-0.04,-438.54,-4.39
15,Exit long,2025-06-23 07:30,L TP1,3373.278,7.59,25641.13002,-39.03,-0.15,17.18,0.07,-38.13,-0.15,-478.29,-4.78
15,Entry long,2025-06-23 07:27,L,3378.278,7.59,25641.13002,-39.03,-0.15,17.18,0.07,-38.13,-0.15,-478.29,-4.78
16,Exit long,2025-06-23 07:30,L TP2,3373.278,30.39,102665.8684,-153.57,-0.15,68.78,0.07,-152.67,-0.15,-631.14,-6.31
16,Entry long,2025-06-23 07:27,L,3378.278,30.39,102665.8684,-153.57,-0.15,68.78,0.07,-152.67,-0.15,-631.14,-6.31
17,Exit long,2025-06-23 07:54,L TP1,3382.851,7.15,24158.36995,27.93,0.12,28.83,0.12,-6.21,-0.03,-603.93,-6.04
17,Entry long,2025-06-23 07:42,L,3378.793,7.15,24158.36995,27.93,0.12,28.83,0.12,-6.21,-0.03,-603.93,-6.04
18,Exit long,2025-06-23 07:57,L TP2,3378.82,28.62,96701.05566,-0.85,0.00,168.48,0.17,-24.85,-0.03,-604.05,-6.04
18,Entry long,2025-06-23 07:42,L,3378.793,28.62,96701.05566,-0.85,0.00,168.48,0.17,-24.85,-0.03,-604.05,-6.04
19,Exit short,2025-06-23 14:45,S TP1,3354.739,12.06,40420.98342,-38.25,-0.09,5.45,0.01,-37.35,-0.09,-643.02,-6.43
19,Entry short,2025-06-23 14:42,S,3351.657,12.06,40420.98342,-38.25,-0.09,5.45,0.01,-37.35,-0.09,-643.02,-6.43
20,Exit short,2025-06-23 14:45,S TP2,3354.739,48.26,161750.9668,-150.36,-0.09,21.82,0.01,-149.46,-0.09,-792.66,-7.93
20,Entry short,2025-06-23 14:42,S,3351.657,48.26,161750.9668,-150.36,-0.09,21.82,0.01,-149.46,-0.09,-792.66,-7.93
21,Exit long,2025-06-23 18:18,L TP1,3365.518,13.67,46043.12996,-37.58,-0.08,8.94,0.02,-36.68,-0.08,-830.96,-8.31
21,Entry long,2025-06-23 18:15,L,3368.188,13.67,46043.12996,-37.58,-0.08,8.94,0.02,-36.68,-0.08,-830.96,-8.31
22,Exit long,2025-06-23 18:18,L TP2,3365.518,54.69,184206.2017,-147.64,-0.08,35.76,0.02,-146.74,-0.08,-977.88,-9.78
22,Entry long,2025-06-23 18:15,L,3368.188,54.69,184206.2017,-147.64,-0.08,35.76,0.02,-146.74,-0.08,-977.88,-9.78
23,Exit long,2025-06-23 18:24,L TP1,3368.291,13.42,45174.51136,26.87,0.06,27.77,0.06,-5.32,-0.01,-951.73,-9.52
23,Entry long,2025-06-23 18:21,L,3366.208,13.42,45174.51136,26.87,0.06,27.77,0.06,-5.32,-0.01,-951.73,-9.52
24,Exit long,2025-06-23 18:27,L TP2,3366.222,53.71,180799.0317,-0.87,0.00,157.03,0.09,-21.29,-0.01,-951.88,-9.52
24,Entry long,2025-06-23 18:21,L,3366.208,53.71,180799.0317,-0.87,0.00,157.03,0.09,-21.29,-0.01,-951.88,-9.52
25,Exit long,2025-06-23 18:36,L TP1,3362.115,12.26,41255.85628,-37.41,-0.09,9.16,0.02,-36.51,-0.09,-990,-9.90
25,Entry long,2025-06-23 18:30,L,3365.078,12.26,41255.85628,-37.41,-0.09,9.16,0.02,-36.51,-0.09,-990,-9.90
26,Exit long,2025-06-23 18:36,L TP2,3362.115,49.05,165057.0759,-146.96,-0.09,36.66,0.02,-146.06,-0.09,-1136.24,-11.36
26,Entry long,2025-06-23 18:30,L,3365.078,49.05,165057.0759,-146.96,-0.09,36.66,0.02,-146.06,-0.09,-1136.24,-11.36
27,Exit long,2025-06-23 20:03,L TP1,3371.795,15.29,51526.96362,26.7,0.05,27.6,0.05,-5.2,-0.01,-1110.26,-11.10
27,Entry long,2025-06-23 20:03,L,3369.978,15.29,51526.96362,26.7,0.05,27.6,0.05,-5.2,-0.01,-1110.26,-11.10
28,Exit long,2025-06-23 20:12,L TP2,3374.114,61.16,206107.8545,251.34,0.12,252.24,0.12,-20.78,-0.01,-858.2,-8.58
28,Entry long,2025-06-23 20:03,L,3369.978,61.16,206107.8545,251.34,0.12,252.24,0.12,-20.78,-0.01,-858.2,-8.58
