entry_time,dir,et,entry,sl,tp,lot,rr,ticket,exit_time,exit_reason,pnl
2025.07.10 08:51:00,L,E1,3328.587,3325.14786,3335.9055,0.11,2.13,20250710085100952,2025.07.10 09:34:55,SL hit,-25.84
2025.07.11 00:06:00,L,E1,3326.502,3323.254,3333.06816,0.11,2.02,20250711000600004,2025.07.11 00:31:59,TP Hit,70.58
2025.07.17 09:09:00,S,E1,3329.042,3331.929,3322.89846,0.11,2.13,20250717090900351,2025.07.17 09:22:36,SL hit,-24.17
2025.07.17 09:10:00,S,E2,3328.112,3330.79143,3323.38549,0.11,1.76,20250717091000351,2025.07.17 09:18:00,SL hit,-15.61
2025.07.24 07:52:00,S,E2,3369.651,3373.35686,3363.81428,0.11,1.57,20250724075200686,2025.07.24 08:14:10,Early Exit/Session End?,9.68
2025.07.24 12:52:00,S,E2,3353.776,3359.24157,3342.68854,0.11,2.03,20250724125200708,2025.07.24 13:09:00,SL hit,-54.01
2025.07.24 12:55:00,S,E1,3354.527,3361.92757,3336.41632,0.11,2.45,20250724125500708,2025.07.24 13:38:23,SL hit,-70.36
2025.07.25 06:10:00,S,E2,3356.067,3358.8885,3351.62314,0.11,1.58,20250725061000786,2025.07.25 06:17:00,SL hit,-13.41
2025.07.25 12:48:00,S,E1,3339.208,3342.82489,3330.35676,0.11,2.45,20250725124800809,2025.07.25 13:26:21,SL hit,-22.08
2025.07.25 12:52:00,S,E2,3337.767,3341.19429,3330.81441,0.11,2.03,20250725125200809,2025.07.25 12:59:41,SL hit,-26.3
2025.07.28 00:46:01,S,E2,3328.647,3331.89193,3323.79178,0.11,1.5,20250728004601862,2025.07.28 00:48:47,SL hit,-19.5
2025.07.30 08:11:00,L,E2,3331.439,3328.63979,3336.37681,0.11,1.76,20250730081100012,2025.07.30 08:25:01,SL hit,-1.3
2025.08.04 09:20:00,L,E1,3359.886,3357.907,3364.09731,0.11,2.13,20250804092000255,2025.08.04 09:40:23,SL hit,-23.66
2025.08.08 07:09:00,L,E1,3399.538,3394.27486,3410.73797,0.11,2.13,20250808070900534,2025.08.08 07:30:30,SL hit,-59.89
2025.08.15 00:18:01,S,E1,3334.488,3335.983,3331.46571,0.11,2.02,20250815001801943,2025.08.15 00:28:55,SL hit,-7.79
2025.08.19 14:38:00,S,E2,3329.257,3333.14307,3321.37372,0.11,2.03,20250819143800078,2025.08.19 14:52:01,TP Hit,87.6
2025.08.22 01:26:00,S,E1,3337.586,3339.819,3333.07177,0.11,2.02,20250822012600198,2025.08.22 02:50:50,TP Hit,49.42
2025.08.25 06:48:00,L,E1,3368.755,3366.13357,3373.73571,0.11,1.9,20250825064800309,2025.08.25 07:19:00,SL hit,-22.01
2025.08.26 05:48:00,L,E1,3376.236,3372.57286,3384.03117,0.11,2.13,20250826054800367,2025.08.26 06:24:33,SL hit,-32.81
2025.08.27 07:16:00,S,E2,3374.534,3377.43221,3369.42155,0.11,1.76,20250827071600430,2025.08.27 07:29:01,SL hit,-21.32
2025.08.27 12:10:00,S,E1,3376.126,3378.21,3371.02604,0.11,2.45,20250827121000438,2025.08.27 12:20:25,SL hit,-16.96
2025.09.04 06:01:00,S,E2,3526.154,3531.38064,3516.9342,0.11,1.76,20250904060100849,2025.09.04 06:08:00,SL hit,-23.59
2025.09.15 00:35:00,S,E1,3635.975,3640.17129,3628.4007,0.11,1.8,20250915003500412,2025.09.15 01:07:52,TP Hit,83.07
2025.09.16 06:45:00,L,E2,3689.859,3686.9595,3694.97372,0.11,1.76,20250916064500508,2025.09.16 07:00:01,SL Hit,24.28
2025.09.17 05:40:00,S,E1,3677.746,3682.062,3668.56155,0.11,2.13,20250917054000582,2025.09.17 07:29:35,TP Hit,100.68
2025.09.22 01:16:00,L,E2,3695.752,3689.51436,3706.20504,0.11,1.68,20250922011600875,2025.09.22 01:29:00,SL hit,-51.44
2025.09.22 03:30:00,L,E1,3691.505,3688.798,3696.39114,0.11,1.81,20250922033000887,2025.09.22 03:48:05,TP Hit,52.94
2025.09.22 05:16:00,L,E2,3694.215,3692.30443,3697.58525,0.11,1.76,20250922051600898,2025.09.22 05:24:29,TP Hit,35.05
2025.09.23 01:15:00,L,E1,3754.616,3747.71686,3768.56331,0.11,2.02,20250923011500968,2025.09.23 02:05:31,SL hit,-46.19
2025.09.23 05:31:00,L,E2,3751.084,3748.3075,3755.98175,0.11,1.76,20250923053100006,2025.09.23 05:37:41,TP Hit,53.89
2025.09.24 03:07:00,S,E1,3752.962,3758.27486,3742.22153,0.11,2.02,20250924030700109,2025.09.24 03:11:28,SL hit,-52.34
2025.09.26 06:15:00,L,E1,3751.512,3745.076,3765.20781,0.11,2.13,20250926061500303,2025.09.26 06:43:23,SL hit,-72.75
2025.09.26 06:16:00,L,E2,3751.955,3747.15029,3760.43052,0.11,1.76,20250926061600303,2025.09.26 06:41:00,SL hit,-35.22
2025.09.30 03:13:00,L,E2,3852.74,3848.98293,3859.0361,0.11,1.68,20250930031300530,2025.09.30 03:27:14,TP Hit,68.66
2025.09.30 05:19:00,L,E2,3870.059,3866.24129,3876.0719,0.11,1.58,20250930051900544,2025.09.30 05:32:08,SL hit,-40.0
2025.10.09 12:55:00,L,E2,4049.987,4044.35664,4060.18498,0.11,1.81,20251009125500468,2025.10.09 13:15:21,SL Hit,32.11
2025.10.10 03:00:00,S,E1,3978.694,3985.09314,3965.75749,0.11,2.02,20251010030000654,2025.10.10 03:26:55,TP Hit,141.19
2025.10.13 05:19:00,L,E2,4067.435,4061.32743,4078.20876,0.11,1.76,20251013051900886,2025.10.13 05:36:26,TP Hit,84.95
2025.10.14 01:16:00,L,E2,4140.611,4131.99907,4155.04287,0.11,1.68,20251014011600013,2025.10.14 01:40:45,SL Hit,5.26
2025.10.14 05:10:00,L,E2,4176.058,4170.19214,4186.40537,0.11,1.76,20251014051000085,2025.10.14 05:25:00,SL hit,-3.64
2025.10.15 05:22:00,L,E2,4190.908,4184.55314,4200.9169,0.11,1.58,20251015052200308,2025.10.15 05:40:07,SL hit,-69.6
2025.10.16 01:15:00,L,E1,4220.676,4210.432,4239.16642,0.11,1.8,20251016011500463,2025.10.16 02:57:52,TP Hit,200.49
2025.10.21 09:11:00,S,E2,4259.466,4271.2365,4240.92746,0.11,1.58,20251021091100525,2025.10.21 09:26:00,SL hit,-75.02
2025.10.21 12:00:00,S,E1,4253.349,4265.82428,4222.81948,0.11,2.45,20251021120000572,2025.10.21 12:12:31,TP Hit,336.14
2025.10.21 12:10:00,S,E2,4249.074,4259.58865,4230.02934,0.11,1.81,20251021121000588,2025.10.21 12:11:00,TP Hit,209.21
